               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,             0.01405,           0.0062094,            0.004298,             0.99889,             0.99993,               0.995,             0.96221,            0.010948,           0.0034058,           0.0033832,             0.00142,             0.00142,             0.00142
                 132,            0.013937,            0.006164,           0.0043069,             0.99889,             0.99992,               0.995,             0.96238,            0.010937,           0.0033958,           0.0033647,            0.001354,            0.001354,            0.001354
                 133,            0.013864,           0.0061746,           0.0042958,              0.9989,             0.99993,               0.995,              0.9627,            0.010931,           0.0033884,           0.0033462,            0.001288,            0.001288,            0.001288
                 134,            0.013767,           0.0061154,           0.0041546,             0.99891,             0.99992,             0.99499,             0.96315,            0.010918,           0.0033805,           0.0033266,            0.001222,            0.001222,            0.001222
                 135,            0.013607,           0.0060679,           0.0041527,              0.9989,             0.99992,               0.995,             0.96333,            0.010904,           0.0033739,           0.0033064,            0.001156,            0.001156,            0.001156
                 136,            0.013443,           0.0060025,           0.0040682,             0.99891,             0.99993,               0.995,             0.96355,            0.010887,           0.0033638,            0.003285,             0.00109,             0.00109,             0.00109
                 137,            0.013499,           0.0060128,           0.0040362,             0.99891,             0.99993,               0.995,             0.96399,            0.010873,           0.0033563,           0.0032644,            0.001024,            0.001024,            0.001024
                 138,            0.013241,           0.0059756,           0.0039656,              0.9989,             0.99993,               0.995,             0.96392,            0.010861,           0.0033488,           0.0032433,            0.000958,            0.000958,            0.000958
                 139,            0.013056,            0.005832,           0.0039214,             0.99891,             0.99993,               0.995,             0.96399,            0.010847,           0.0033401,           0.0032218,            0.000892,            0.000892,            0.000892
                 140,            0.012913,           0.0058407,            0.003876,             0.99891,             0.99993,               0.995,             0.96432,            0.010832,           0.0033289,           0.0031992,            0.000826,            0.000826,            0.000826
                 141,            0.012849,           0.0057835,           0.0038107,              0.9989,             0.99995,               0.995,             0.96463,            0.010816,           0.0033223,           0.0031765,             0.00076,             0.00076,             0.00076
                 142,            0.012603,           0.0057081,           0.0037408,             0.99891,             0.99995,               0.995,             0.96482,            0.010801,           0.0033181,           0.0031529,            0.000694,            0.000694,            0.000694
                 143,            0.012531,           0.0056786,           0.0036654,             0.99891,             0.99995,               0.995,             0.96505,            0.010788,           0.0033077,           0.0031281,            0.000628,            0.000628,            0.000628
                 144,            0.012392,           0.0056432,           0.0036585,             0.99892,             0.99995,               0.995,             0.96507,            0.010779,           0.0033004,            0.003103,            0.000562,            0.000562,            0.000562
                 145,            0.012172,           0.0056039,           0.0035763,             0.99892,             0.99994,               0.995,             0.96535,            0.010772,           0.0032931,           0.0030773,            0.000496,            0.000496,            0.000496
                 146,            0.012057,           0.0055312,           0.0035053,             0.99892,             0.99993,               0.995,             0.96539,            0.010768,           0.0032865,           0.0030511,             0.00043,             0.00043,             0.00043
                 147,            0.011992,           0.0055073,           0.0035071,             0.99892,             0.99993,               0.995,             0.96568,            0.010763,           0.0032747,            0.003024,            0.000364,            0.000364,            0.000364
                 148,            0.011879,            0.005541,           0.0034585,             0.99892,             0.99993,               0.995,             0.96587,             0.01076,           0.0032707,           0.0029975,            0.000298,            0.000298,            0.000298
                 149,            0.011752,           0.0054272,           0.0034431,             0.99893,             0.99993,               0.995,             0.96603,            0.010755,           0.0032633,           0.0029701,            0.000232,            0.000232,            0.000232
